tokenId;name;description;image;price;coin
11;Cocodrile Mambo Jimbo;Crocodiles have powerful jaws with many conical teeth and short legs with clawed webbed toes. They share a unique body form that allows the eyes, ears, and nostrils to be above the water surface while most of the animal is hidden below.;cocodrile.jpg;10.45;matic
12;Sir Monkey Pillow;Most species are arboreal, using all four limbs to leap from tree to tree. They can sit upright and stand erect. Most species run along branches rather than swinging arm over arm like the apes.;monkey.jpg;0.2;matic
13;Pink Smart Elephant;Elephants are the largest land mammals on earth and have distinctly massive bodies, large ears, and long trunks.;elephant.jpg;120;matic
14;Peppa Pig Friend;Their hooves have two functional and two nonfunctional digits. Domestic North American pigs originated from wild stocks still found in European, Asian, and North African forests.;pig.jpg;0.2;matic
15;Sir Lion King;The story of Sundiata Keita is behind “The Lion King.” Known as the Lion of Mali, Sundiata was the founder of the Malian Empire, the largest kingdom in West Africa.;lion.jpg;0.2;matic
16;Tiger cries to the moon;The tiger (Panthera tigris) is the largest living cat species and a member of the genus Panthera. It is most recognisable for its dark vertical stripes on orange fur with a white underside.;tiger.jpg;0.2;matic
17;Zebra watching series;Zebras are mammals of the family Equidae. Zebras are African horses. They are in the same genus as the common horse, Equus caballus, and donkeys.;zebra.jpg;0.2;matic
21;Cocodrile Mambo Jimbo;Crocodiles have powerful jaws with many conical teeth and short legs with clawed webbed toes. They share a unique body form that allows the eyes, ears, and nostrils to be above the water surface while most of the animal is hidden below.;cocodrile.jpg;10.45;matic
22;Sir Monkey Pillow;Most species are arboreal, using all four limbs to leap from tree to tree. They can sit upright and stand erect. Most species run along branches rather than swinging arm over arm like the apes.;monkey.jpg;0.2;matic
23;Pink Smart Elephant;Elephants are the largest land mammals on earth and have distinctly massive bodies, large ears, and long trunks.;elephant.jpg;120;matic
24;Peppa Pig Friend;Their hooves have two functional and two nonfunctional digits. Domestic North American pigs originated from wild stocks still found in European, Asian, and North African forests.;pig.jpg;0.2;matic
25;Sir Lion King;The story of Sundiata Keita is behind “The Lion King.” Known as the Lion of Mali, Sundiata was the founder of the Malian Empire, the largest kingdom in West Africa.;lion.jpg;0.2;matic
26;Tiger cries to the moon;The tiger (Panthera tigris) is the largest living cat species and a member of the genus Panthera. It is most recognisable for its dark vertical stripes on orange fur with a white underside.;tiger.jpg;0.2;matic
27;Zebra watching series;Zebras are mammals of the family Equidae. Zebras are African horses. They are in the same genus as the common horse, Equus caballus, and donkeys.;zebra.jpg;0.2;matic